a,b,c,d,r,compliance,weight
35.9097627,20.28607575,158.6027634,19.41795327,3.528473096,0.222785672,0.141007441
20.32917882,16.97503488,202.891773,17.1854651,2.20766883,0.792121879,0.110206705
35.55834501,35.01155797,122.5680446,41.97023866,2.441420721,0.969997037,0.107229262
34.81742586,20.80808736,142.8326198,14.7112627,3.897400243,0.279387296,0.147877286
32.59572367,40.31966343,120.4614794,31.11221167,3.362365489,0.725673774,0.128749893
21.7279842,39.25734131,194.9446689,27.80873933,2.808293239,0.582056622,0.128110366
22.85291112,23.50969348,215.4561503,23.02737358,3.260375796,0.584998208,0.148277405
30.9235271,35.44483829,206.616934,27.57749923,3.933636406,0.407375156,0.175999798
38.47190158,26.57481278,149.6976312,26.02409019,3.753335334,0.269158269,0.147232521
28.53412757,18.48415302,123.1289263,48.92617134,2.947274215,0.801371858,0.120474675
23.31403935,36.17544061,160.9883738,19.64081792,2.024177535,0.484889901,0.101945611
36.4322619,11.46124333,151.2532916,11.78652431,2.084888512,0.324585415,0.100858012
31.23179392,21.64415006,217.6563296,34.85527318,3.963931647,0.53666159,0.183543219
26.87374503,45.12839729,176.0971013,24.73517796,3.821921968,0.229036911,0.160409536
38.39529189,38.58746048,182.9767611,15.44193821,3.714785272,0.237950843,0.154524253
22.20783756,24.51312279,171.1201966,38.91845608,2.502374554,0.658917219,0.115953543
21.26359664,14.1657052,203.0641475,43.47698885,2.871332029,0.896903526,0.133852507
36.6530779,25.40929922,144.0939405,16.6303786,3.258585924,0.299846968,0.128345487
23.86371379,18.26696415,193.1317979,14.28653088,2.265788122,0.572837811,0.110202144
39.63663827,47.83460517,199.0201075,19.13157601,3.32009391,0.42945883,0.144625745
25.33556331,33.30800319,138.735194,48.38487542,2.184975063,0.960209706,0.104789493
27.51523147,11.03681677,134.5722519,37.28923265,3.79905498,0.426242368,0.147409503
33.88942508,33.13856347,197.6994793,12.11897478,3.516275956,0.313136106,0.150876395
26.27930115,37.95244128,147.5812729,31.95269414,3.233850632,0.337301915,0.132207939
20.54505086,42.20052975,166.9560836,30.25759608,2.248477101,0.608523325,0.10838666
27.92127864,31.60767728,164.3015748,33.06406941,3.345801552,0.302632117,0.139914435
25.52360309,44.17150748,141.1354741,26.91931293,2.291399298,0.555229573,0.10597234
33.51817455,42.6297301,178.6532008,13.06084131,2.728628369,0.336052026,0.120272161
34.57930932,41.34702475,177.4358649,37.95676934,3.21612388,0.452676263,0.139123637
21.14077772,41.64009075,185.9194826,47.48569652,2.35997694,1.124710045,0.115069226
21.82988966,43.54725042,157.1624929,45.84622383,2.0424764,1.059012478,0.103651218
31.16960165,46.32292758,128.5691007,10.96287332,3.56138334,0.507336059,0.134691367
32.33948575,36.98141707,214.7220556,33.54655293,2.39951043,1.385965545,0.118274398
24.17116067,32.40468563,179.3599781,21.49199622,3.143432594,0.300896427,0.135091095
32.70420732,12.0217352,192.1999965,17.60740872,3.455873954,0.321530071,0.147772407
38.84478494,40.53814067,207.9280813,25.88176576,3.400636779,0.54515886,0.151520237
35.63293883,26.24859136,189.5772286,42.89515713,2.01868428,1.783661159,0.105638631
34.32279319,47.41425312,165.58991,20.69204881,3.0262389,0.30166836,0.12755198
29.67964421,19.6839375,154.186193,24.37774896,3.554791016,0.243984069,0.142321601
36.09809176,10.09096585,170.2543565,23.62321166,3.108688333,0.320593614,0.130795699
24.46235918,17.8785374,184.3777518,34.07184147,2.660493575,0.643715336,0.121912646
31.61344993,25.87175711,143.4536968,11.41463168,3.657933426,0.275494736,0.140309231
29.19806779,28.88675879,181.6630782,18.10532895,2.12041302,0.612591501,0.105559229
20.95167573,14.52800686,139.3834639,40.63532685,3.196620969,0.434968985,0.130476344
39.52579637,22.34906026,167.273542,25.11921873,2.063712719,0.767196989,0.102907541
24.79055833,32.27499531,209.2155077,46.77894824,2.914617116,0.991950082,0.13718668
23.05078833,30.08532479,124.5182007,20.81026509,2.304149402,0.706346822,0.10394446
20.68493709,48.14966799,187.4635754,30.51105148,3.871735687,0.287172146,0.168671961
39.97277112,34.44701274,137.5173791,38.45282724,2.574337194,0.684583345,0.111812565
32.07921194,45.42616852,169.1832798,28.4579391,2.589761126,0.511513919,0.116623235
